relation,relation_snippet,sentence,source
PAD unknown PAD,unknown,She has also demanded retractions from a ORG1 writer who profiled the couple in 2005 and last week accused PER1 of an assault at the couple s Florida home Mar a Lago while PER2 was out of the PER2 PER3 has never filled the role of the traditional political spouse only making rare appearances on the campaign trail,hand_tagged
PAD unknown PAD,unknown,This story was refiled with full name of ORG1 chairman in paragraph 12 Additional reporting by PER1 and PER2 Writing by PER3 Editing by PER4 and PER5,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 14 249 additional shares ORG2 Resources during the most recent quarter end the firm said in a disclosure report filed with ORG3 SEC on Aug 8 2016 # # ORG2 # # #,hand_tagged
PAD unknown PAD,unknown,Additional Information PER1 intends to file a proxy statement with the ORG1 the SEC with respect to the 2016 Annual Meeting,hand_tagged
PAD unknown PAD,unknown,Investors and security holders may obtain free copies of these documents and other documents filed with the ORG1 by PER1 through the website maintained by the ORG1 at http www sec gov,hand_tagged
PAD unknown PAD,unknown,Copies of the documents filed by PER1 with the ORG1 will be available on PER1 website at investor williams com,hand_tagged
pad lawsuit ORG1,lawsuit,Courts have struggled over what qualifies as an injury to pursue a privacy case in lawsuits accusing ORG1 and ORG2 of siphoning users personal information from e mails and monitoring their web browsing habits,hand_tagged
PAD unknown PAD,unknown,Shutterfly settles confidentially May 2016 Illinois lawmaker proposes excluding photos from biometrics law then shelves bill after privacy advocates complainOctober 2016 ORG1 makes second ORG1 to get biometrics lawsuit thrown outThe ORG1 case is In re ORG2 of California San Francisco,hand_tagged
PAD unknown PAD,unknown,In return Nevada Sunrise Gold will receive C 600 000 in cash as well as 2 071 447 shares of ORG1 filed an official protest of ORG2 water rights option with the ORG3 back in April and depending on the outcome it might be easier for to Albemarle just to acquire this C 13 million market cap,hand_tagged
PAD unknown PAD,unknown,For him to get from where he is to winning somethingsome spark something that hasnt happenedwould have to happen he said One measure of the hurdles Mr PER1 still faces He is losing to Mrs PER2 42 to 37 among college educated white votersa big bloc that GOP candidates traditionally win,hand_tagged
PAD unknown PAD,unknown,ORG1 CNI Somerville Kurt F scooped up 1 710 additional shares in Canadian National Railway USA during the most recent quarter end the firm said in a disclosure report filed with the SEC on Aug 8 2016 # # # PADDING # ORG2 scooped up 1 710 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 8 2016,hand_tagged
PAD unknown PAD,unknown,A debate about the future of the ORG1 governor may be the last thing U K markets need Amid uncertainty about Britains relationship with the ORG2 PER1 has been hailed as a source of stability even as he faces renewed political criticism,hand_tagged
PAD unknown PAD,unknown,The focus was on how whites were marginalized and beleaguered One speaker PER1 the founder of Vdare com an anti immigration website asked why if Hispanics had the ORG1 and Jews had the Anti Defamation League whites were reluctant to organize for their rights,hand_tagged
PAD unknown PAD,unknown,ORG1 NEWS Marketwired Aug 16 2016 ORG2 BPY ORG3 BPY ORG4 announced today that the ORG5 the ORG3 accepted a notice filed by BPY of its intention to renew its prior normal course issuer bid for a further one year period,hand_tagged
PAD unknown PAD,unknown,Form 4 ORG1 24 Filed by PER1 K. Log In | Home | E mail Alerts | My Headlines | Portfolio Upgrade to StreetInsider Premium,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 8 482 additional ORG2 Budget Group during the most recent quarter end the firm said in a disclosure report filed ORG3 the SEC on Aug 9 2016 # # ORG2 # #,hand_tagged
PAD unknown PAD,unknown,Danaher ORG1 scooped up 5 973 additional shares in Danaher during the most recent quarter end the firm said in a disclosure report filed with the ORG2 on Aug 10 2016,hand_tagged
PAD unknown PAD,unknown,ORG1 BAX Autus Asset Management scooped up 2 289 additional shares in Baxter International during the most recent quarter end the firm said in a disclosure report filed with the SEC on Aug 8 2016 # # # PADDING # # ORG2 scooped up 2 289 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 8 2016,hand_tagged
PAD unknown PAD,unknown,PER1 is under active and serious consideration to be PER3 secretary of state Vice President elect PER4 said Sunday a move that would moderate the direction of the president elects national security team inside a rapidly expanding administration Mr PER3 remaining high profile selections include the economic team that will join him at the White House,hand_tagged
PAD unknown PAD,unknown,ORG1 understands and believes that the debt is an asset of Venezuela owed by ORG2 and ORG3 and currently sited in ORG1 wrote in a request filed to the court which was seen by ORG5,hand_tagged
PAD unknown PAD,unknown,However it only becomes unlocked once 20 people at a school join and if you re older than 22 you re only able to access your own profile PER1 explained The app s designer ORG1 product Manager Michael Sayman is just 20 years old himself,hand_tagged
per1 lawsuit org1,lawsuit,A spokeswoman for ORG1 couldnt be reached for comment Tuesday on the lawsuit PER1 contributed to this article,hand_tagged
PAD unknown PAD,unknown,4 1 Indenture dated as of May 22 2014 between the and The ORG1 as trustee by reference to Exhibit 4 1 to ORG2 s Current Report on Form 8 K filed on May 22 2014,hand_tagged
ORG1 lawsuit ORG2,lawsuit,In a statement ORG1 spokeswoman PER2 said ORG2 s lawsuit is without merit,hand_tagged
PAD unknown PAD,unknown,ORG1 said it expects the redacted version of the complaint filed in court to be publicly available next week according to ORG2,hand_tagged
PAD unknown PAD,unknown,ORG1 AIG Donald Smith scooped up 135 193 additional shares in American International Group during the most recent quarter end the firm said in a disclosure report filed with the SEC on Aug 11 2016 # # # PADDING # ORG2 PER1 scooped up 135 193 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 11 2016,hand_tagged
PAD unknown PAD,unknown,This then bloomed into a huge environmental movement But India now faces the problem of the strong man that we have in other states with the rise of leaders like Russian President PER1 and Chinese President PER2,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 22 849 additional shares in ORG2 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 12 2016 # ORG2 # PADDING # # #,hand_tagged
pad lawsuit org1,lawsuit,ORG1 is facing a patent infringement lawsuit related to its hepatitis C virus HCV drugs that contain sofosbuvir,hand_tagged
PAD unknown PAD,unknown,ORG1 filed a lawsuit against it last week alleging that PER1 engaged in a fraudulent scheme that cost shareholders billions of dollars PER1 intends to defend itself and can not comment further on ongoing litigation a spokeswoman said of the lawsuit,hand_tagged
ORG2 lawsuit ORG1,lawsuit,ORG1 in HCV Patent Infringement Lawsuit ORG1 is facing a patent infringement lawsuit from the ORG2 related to its HCV drugs that contain sofosbuvir,hand_tagged
PAD unknown PAD,unknown,The plan comprised capital return of 25 billion to the companys shareholders and pursues an active divesture program which included 19 9 IPO of ORG1 as a first step toward full separation ORG2 recently filed for offering of 19 9 of UGCs stakes in initial public offering IPO the sale was expected to complete this year,hand_tagged
PAD unknown PAD,unknown,ORG1 APD Cibc World Markets scooped up 281 additional shares in Air Products Chemicals during the most recent quarter end the firm said in a disclosure report filed with the SEC on Aug 11 2016 # # # PADDING # ORG2 scooped up 281 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 11 2016,hand_tagged
PAD unknown PAD,unknown,The scandal rattled ORG1 s global business harmed its reputation and prompted the ouster of its CEO The world s second largest automaker still faces billions more in costs to address 85 000 polluting 3 0 liter vehicles and ORG2 fines for violating clean air laws,hand_tagged
PAD unknown PAD,unknown,Mr PER1 said that in the lawsuit the elder Mr PER2 claimed that he had been discriminated against because of his race and ethnicity,hand_tagged
PAD unknown PAD,unknown,He now faces questions over whether the donation was made to sway her offices review of fraud allegations at another of his ventures ORG1 The donation actually came from the ORG2 and was in violation of tax regulations which led him to pay a 2 500 penalty to the ORG3,hand_tagged
PAD unknown PAD,unknown,salesforce com ORG1 scooped up 43 273 additional shares in salesforce com during the most recent quarter end the firm said in a disclosure report filed with the ORG2 on Aug 9 2016,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 25 431 additional shares in ORG2 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 10 2016 # # # PADDING ORG2 # #,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 41 419 additional shares ORG2 Express during the most recent quarter end the firm said in a disclosure report filed with ORG3 SEC on Aug 10 2016 # # # PADDING ORG2 #,hand_tagged
PAD unknown PAD,unknown,ORG1 AAL Hourglass Capital scooped up 126 901 additional shares in American Airlines Group during the most recent quarter end the firm said in a disclosure report filed with the SEC on Aug 10 2016 # # # PADDING # ORG2 scooped up 126 901 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 10 2016,hand_tagged
ORG1 lawsuit ORG2,lawsuit,NEW YORK Sept 8 The ORG1 on Thursday filed a lawsuit accusing two former ORG2 officers of helping orchestrate a fraudulent scheme that caused the real estate investment trust to inflate results in 2014,hand_tagged
PAD unknown PAD,unknown,ORG2 scooped up 1 369 500 additional shares in ORG1 s during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 10 2016,hand_tagged
PAD unknown PAD,unknown,The Velas of Brownsville are but one PER1 was a federal judge there his wife PER2 became the mayor and their son PER3 now represents Brownsville in ORG1,hand_tagged
PAD unknown PAD,unknown,Form 4 ORG1 ENERGY For Aug 17 Filed by ORG2 THOMAS L Log In | Home | E mail Alerts | My Headlines | Portfolio Upgrade to StreetInsider Premium,hand_tagged
PER1 lawsuit PER2,lawsuit,PER1 has filed for divorce from PER2 bringing an end to one of the world s most star studded tabloid headline generating romances Jolie Pitt cited irreconcilable difference in divorce papers filed Monday in Los Angeles,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 170 000 additional ORG2 Air Lines during the most recent quarter end the firm said in a disclosure report filed ORG3 the SEC on Aug 11 2016 # # ORG2 # #,hand_tagged
PAD unknown PAD,unknown,An average of national polls on the RealClearPolitics website since mid October gives PER1 a lead of more than five percentage points as PER2 fights off accusations that he groped women and faces heavy criticism for suggesting he might not accept the result of the election if he loses,hand_tagged
PAD unknown PAD,unknown,In December a New York state appeals court ruling threw out ORG1 suit against some of Ceglias lawyers which PER1 points to as an argument that he has probable cause a contract claim There is acknowledgement that PER2 had a 2003 contact with ORG2 regarding ORG3 a ORG2 owned while the two attended ORG4,hand_tagged
PAD unknown PAD,unknown,Exhibit No In connection with the proposed transaction ORG1 intends to file a proxy statement and other relevant documents concerning the proposed transaction with the ORG2,hand_tagged
PAD unknown PAD,unknown,In connection with the proposed transaction ORG1 intends to file a proxy statement and other relevant documents concerning the proposed transaction with the ORG2,hand_tagged
PAD unknown PAD,unknown,Imagine that marginal PER1 voter if the only thing theyd heard over the last two weeks was about WikiLeaks would they ever turn back to being undecided I ask Mr PER2 to describe the profile of the undecided voter in this election,hand_tagged
PAD unknown PAD,unknown,PER1 and ORG1 scooped up 18 additional shares in PER1 and during the most recent quarter end the firm said in a disclosure report filed with the ORG2 on Aug 9 2016,hand_tagged
PAD unknown PAD,unknown,ORG1 CA ACCESSWIRE August 31 2016 PER1 the Firm announces a class action lawsuit has been filed against The ORG2 or the ORG3,hand_tagged
PAD unknown PAD,unknown,PER1 contributed another 10 million to his presidential campaign on Friday providing a needed financial boost to his bid at a critical juncture Mr PER2 donation was revealed in disclosures filed late Friday night with the ORG1,hand_tagged
PAD unknown PAD,unknown,The lawsuit was dropped in May 1997 Temple PER1 a former Miss Utah was quoted by The ORG1 in a report published on May 15 as saying that PER2 kissed me directly on the lips when the two were introduced in 1997 when she was 21,hand_tagged
PAD unknown PAD,unknown,The government said he could face additional charges including espionage PER1 also employed PER2 who took and released thousands of classified files from the ORG1 in 2013 before fleeing the country The case is ORG2 v ORG3 16 mj ORG4,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 176 additional shares ORG2 Wholesale during the most recent quarter end the firm said in a disclosure report filed with ORG3 SEC on Aug 10 2016 # ORG2 PADDING # # #,hand_tagged
PAD unknown PAD,unknown,Those savings would be passed on to employers and policyholders the Indianapolis based says The Justice Departments lawsuit opposing the ORG1 merger is one of two health care antitrust cases going to trial in the waning days of the PER1 administration as it tries to prevent that industry from shrinking to three national carriers from five,hand_tagged
PAD unknown PAD,unknown,An extensive list of factors that can affect future results are discussed in the Annual Reports on Form 10 K and other documents filed by ORG1 66 ORG2 and Sunoco Logistics from time to time with the Securities and Exchange Commission,hand_tagged
PAD unknown PAD,unknown,The brothers also control ORG1 which is named as a defendant in the suit ORG2 officials said they werent aware of the lawsuit and declined to comment An ORG3 spokesman said the aircraft which was initially delivered in June 2014 for a 120 month lease is currently in storage,hand_tagged
PAD unknown PAD,unknown,The German lenders shares have been hit recently by fears it may need a capital increase after The ORG1 reported this month that the ORG2 proposed that ORG3 pay 14 billion to settle a set of high profile mortgage securities probes,hand_tagged
PAD unknown PAD,unknown,ORG1 AWK Hightower Advisors scooped up 17 614 additional shares in American Water Works during the most recent quarter end the firm said in a disclosure report filed with the SEC on Aug 11 2016 # # # PADDING # ORG2 scooped up 17 614 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 11 2016,hand_tagged
PAD unknown PAD,unknown,connection with the proposed transaction ORG1 and ORG2 intend to file relevant information with the SEC including a registration statement of ORG1 on Form S 4 the registration statement that will include a prospectus of ORG1 and a proxy statement of ORG2,hand_tagged
PAD unknown PAD,unknown,Information regarding the persons who may be deemed to be participants in the solicitation of ORG1 shareholders in connection with the proposed transaction including a description of their direct or indirect interests by security holdings or otherwise will be set forth in the proxy statement prospectus when it is filed with the ORG2,hand_tagged
PER1 lawsuit PER2,lawsuit,The suit says that the women isolated and confused Mr Redstone which incidentally is very similar to the argument Ms PER1 made about his daughter PER2 in a lawsuit that was thrown out months ago,hand_tagged
PER1 lawsuit PER2,lawsuit,Do you think now that this whole episode is resolved I think the agreement they came to ended all lawsuits among the various parties involved in this Kline Well it ended the lawsuits between PER1 and the board PER2,hand_tagged
pad lawsuit PER1,lawsuit,National Cybercrime Data Privacy A court in Sweden again refused to dismiss an arrest warrant for ORG1 founder PER1 who faces charges there related to an alleged sexual assault,hand_tagged
PAD unknown PAD,unknown,Applied Materials ORG1 has sold out all of its stake in Applied Materials during the most recent quarter according to the disclosure filed by the on Aug 8 2016 with the ORG2,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 1 124 additional shares in ORG2 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 9 2016 # # # ORG2 # # #,hand_tagged
PAD unknown PAD,unknown,The billionaire investor PER1 turned the practice into a tool of revenge this year surreptitiously paying for pro wrestler Hulk Hogans privacy suit against the website Gawker which published a PER2 sex tape,hand_tagged
PAD unknown PAD,unknown,The lawsuit was terminated in 2012 after PER2 pleaded guilty to blocking police from enforcing the restrictions on the restaurant PER3 of PER4 said that he often ate at the restaurant and recently began seeing the younger PER2 working there more,hand_tagged
PAD unknown PAD,unknown,The restive ORG1 which has about 40 members could have a higher profile in the next ORG2 particularly if Republicans hold a much slimmer majority,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 6 871 additional shares ORG2 Health during the most recent quarter end the firm said in a disclosure report filed with ORG3 SEC on Aug 9 2016 # # # ORG2 # #,hand_tagged
PAD unknown PAD,unknown,ORG1 JPM Oppenheimer scooped up 4 014 additional shares in JPMorgan Chase during the most recent quarter end the firm said in a disclosure report filed with the SEC on Aug 8 2016 # # # PADDING # # ORG2 scooped up 4 014 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 8 2016,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 3 530 additional shares ORG2 Laboratories during the most recent quarter end the firm said in a disclosure report filed with ORG3 SEC on Aug 8 2016 # # ORG2 # # #,hand_tagged
PAD unknown PAD,unknown,ORG1 TD Bank Of Nova Scotia Trust scooped up 141 497 additional shares in Toronto Dominion Bank during the most recent quarter end the firm said in a disclosure report filed with the SEC on Aug 10 2016 # # # PADDING # ORG2 scooped up 141 497 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 10 2016,hand_tagged
PAD unknown PAD,unknown,Form 4 ORG1 INC. For Apr 10 Filed by PER1 Log In | Home | E mail Alerts | My Headlines | Portfolio Upgrade to StreetInsider Premium,hand_tagged
PAD unknown PAD,unknown,Sept 8 ORG1 on Thursday asked a U S judge to allow the South Korean to pay cargo handlers to remove its goods from ORG2 s vessels stationed near U S ports after the world s seventh largest container carrier filed for bankruptcy ORG3 is the news and media division of ORG3,hand_tagged
PAD unknown PAD,unknown,ORG2 scooped up 10 433 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG3 on Aug 10 2016 # # # PADDING ORG1 # #,hand_tagged
ORG1 lawsuit ORG2,lawsuit,Native Americans from different tribes participate in a rally outside US District Court in Washington Wednesday Aug 24 2016 in solidarity with the ORG1 in their lawsuit against the ORG2 to protect their water and land from the Dakota Access Pipeline,hand_tagged
PAD unknown PAD,unknown,Form 4 ORG1 24 Filed by PER1 Log In | Home | E mail Alerts | My Headlines | Portfolio Upgrade to StreetInsider Premium,hand_tagged
PAD unknown PAD,unknown,ORG1 DFS Bailard scooped up 44 895 additional shares in ORG1 during the most recent quarter end the firm said in a disclosure report filed with the ORG2 on Aug 8 2016,hand_tagged
PAD unknown PAD,unknown,Bed Bath Beyond ORG1 scooped up 1 242 additional shares in Bed Bath Beyond during the most recent quarter end the firm said in a disclosure report filed with the ORG2 on Aug 10 2016,hand_tagged
PAD unknown PAD,unknown,ORG1 President PER1 said on Friday the U S central bank increasingly faces risks if it waits too long to tighten policy,hand_tagged
PAD unknown PAD,unknown,Before last weeks presidential election WikiLeaks distributed hacked emails from the ORG1 while Mr PER1 has excoriated PER2 the Democratic nominee No formal charges have been filed against Mr PER1 a 45 year old native of Australia,hand_tagged
PAD unknown PAD,unknown,ORG1 ORG2 has sold out all of its stake in ORG1 during the most recent quarter according to the disclosure filed by the on Aug 10 2016 with the ORG3,hand_tagged
PAD unknown PAD,unknown,According to PER1 which first reported his resignation within its big profile of Salesforce CEO PER2 was also in charge of running the PER3 project the upcoming new artificial intelligence product Salesforce is working on,hand_tagged
PAD unknown PAD,unknown,A lawsuit filed against ORG1 AVGO by ORG2 shareholders is now nearing settlement,hand_tagged
ORG1 lawsuit ORG2,lawsuit,Now however it appears a large reason for the shift in tone was the ORG1 s lawsuit to block ORG2 s merger with rival ORG3,hand_tagged
PAD unknown PAD,unknown,files amassed in a 16 year surveillance of Mr PER1 One of your prime objectives J PER2 the longtime F B I,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 401 327 additional shares ORG2 Wholesale during the most recent quarter end the firm said in a disclosure report filed with ORG3 SEC on Aug 11 2016 # # # ORG2 # #,hand_tagged
PAD unknown PAD,unknown,ORG1 scooped up 7 732 additional shares ORG2 Group during the most recent quarter end the firm said in a disclosure report filed with ORG3 SEC on Aug 10 2016 # # ORG2 # # #,hand_tagged
PAD unknown PAD,unknown,Such recounts would be extremely unlikely to overturn PER1 s victory over his Democratic rival for the ORG1 PER2 On Friday Michigan s attorney general said he had filed a lawsuit to halt the requested recount in that state saying it would be too expensive,hand_tagged
PAD unknown PAD,unknown,And the screenplay highlights challenges the media faces as it executes its proposed merger with ORG1 according to one expert PER1 writes,hand_tagged
PAD unknown PAD,unknown,Houston based oil well servicer ORG1 filed for chapter 11 protection Monday and ORG2 of Fort Worth also an oil well servicer said it would do so by Tuesday,hand_tagged
PAD unknown PAD,unknown,On ORG1 s motion the district court dismissed PER1 s case on the grounds of forum non conveniens holding that the case belonged in Ecuador Donzinger then filed a case in Ecuador against ORG1 on behalf of approximately 50 named plaintiffs from the ORG2 canton in the ORG3,hand_tagged
